        61        12         6        20
   1.46815E-08   1.76977E-08   2.14573E-08   2.52511E-08   2.69869E-08
   2.75970E-08   2.69398E-08   2.51741E-08   2.14970E-08   1.78048E-08
   1.47271E-08   1.40949E-08   1.47269E-08   1.77419E-08   2.14935E-08
   2.52777E-08   2.69919E-08   2.75915E-08   2.69413E-08   2.51906E-08
   2.15184E-08   1.78308E-08   1.47549E-08   1.41289E-08   1.47546E-08
   1.77686E-08   2.15147E-08   2.52927E-08   2.69926E-08   2.75868E-08
   2.69413E-08   2.52002E-08   2.15313E-08   1.78467E-08   1.47720E-08
   1.41501E-08   1.47717E-08   1.77849E-08   2.15276E-08   2.53014E-08
   2.69919E-08   2.75833E-08   2.69408E-08   2.52060E-08   2.15392E-08
   1.78566E-08   1.47827E-08   1.41634E-08   1.47824E-08   1.77950E-08
   2.15354E-08   2.53066E-08   2.69911E-08   2.75809E-08   2.69403E-08
   2.52095E-08   2.15441E-08   1.78627E-08   1.47894E-08   1.41717E-08
   1.47890E-08   1.78013E-08   2.15402E-08   2.53097E-08   2.69904E-08
   2.75793E-08   2.69400E-08   2.52117E-08   2.15471E-08   1.78665E-08
   1.47936E-08   1.41770E-08   1.47932E-08   1.78052E-08   2.15433E-08
   2.53116E-08   2.69898E-08   2.75782E-08   2.69397E-08   2.52131E-08
   2.15490E-08   1.78690E-08   1.47962E-08   1.41803E-08   1.47958E-08
   1.78077E-08   2.15451E-08   2.53128E-08   2.69895E-08   2.75776E-08
   2.69395E-08   2.52139E-08   2.15502E-08   1.78705E-08   1.47979E-08
   1.41824E-08   1.47975E-08   1.78093E-08   2.15463E-08   2.53136E-08
   2.69892E-08   2.75771E-08   2.69394E-08   2.52144E-08   2.15510E-08
   1.78714E-08   1.47989E-08   1.41837E-08   1.47985E-08   1.78102E-08
   2.15471E-08   2.53140E-08   2.69891E-08   2.75768E-08   2.69393E-08
   2.52148E-08   2.15515E-08   1.78720E-08   1.47996E-08   1.41846E-08
   1.47992E-08   1.78109E-08   2.15475E-08   2.53143E-08   2.69890E-08
   2.75767E-08   2.69393E-08   2.52150E-08   2.15518E-08   1.78724E-08
   1.48000E-08   1.41851E-08   1.47996E-08   1.78113E-08   2.15478E-08
   2.53145E-08   2.69889E-08   2.75766E-08   2.69392E-08   2.52151E-08
   2.15519E-08   1.78726E-08   1.48003E-08   1.41854E-08   1.47999E-08
   1.78115E-08   2.15480E-08   2.53146E-08   2.69889E-08   2.75765E-08
   2.69392E-08   2.52152E-08   2.15521E-08   1.78728E-08   1.48004E-08
   1.41856E-08   1.48000E-08   1.78117E-08   2.15481E-08   2.53147E-08
